DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0128-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Gainesville, Alachua areas (Alachua district, Florida province), Lafayette, Gulf districts (Florida province)",,,No,No,No,,113,Km2,,,,2000,2,26,2000,2,26,,,600,,600,,,,,,,56.5142905592776,"[{""adm2_code"":28998,""adm2_name"":""Alachua""},{""adm2_code"":29019,""adm2_name"":""Gulf""},{""adm2_code"":29030,""adm2_name"":""Lafayette""}]",2003-07-01,2023-09-25
2000-0240-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Los Alamos, Rio Arriba, Sandoval, Santa Fe districts (New Mexico province)",,,No,No,No,,194,Km2,,,,2000,5,,2000,9,,,,25000,400,25400,,,200500,354778,1500000,2654196,56.5142905592776,"[{""adm2_code"":30487,""adm2_name"":""Los Alamos""},{""adm2_code"":30493,""adm2_name"":""Rio Arriba""},{""adm2_code"":30497,""adm2_name"":""Sandoval""},{""adm2_code"":30498,""adm2_name"":""Santa Fe""}]",2006-08-15,2023-09-25
2000-0279-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,Sarasota district (Florida province),,,No,No,No,,16,Km2,,,,2000,5,14,2000,5,14,,,,,,,,,,,,56.5142905592776,"[{""adm2_code"":29053,""adm2_name"":""Sarasota""}]",2003-07-01,2023-09-25
2000-0363-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Park, Jefferson, Larimer districts (Colorado province)",,,No,No,No,,85,Km2,,,,2000,6,12,2000,6,12,,,800,210,1010,,,,,,,56.5142905592776,"[{""adm2_code"":28957,""adm2_name"":""Larimer""},{""adm2_code"":28969,""adm2_name"":""Park""},{""adm2_code"":154741,""adm2_name"":""Jefferson""}]",2003-07-01,2023-09-25
2000-0406-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Hanford area (Benton district, Washington province)",,,No,No,No,,607,Km2,,,,2000,6,27,2000,6,27,,2,8000,75,8077,,,,,,,56.5142905592776,"[{""adm2_code"":31632,""adm2_name"":""Benton""}]",2003-07-01,2023-09-25
2000-0450-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,Alaska province,,,No,No,No,,2363,Km2,,,,2000,7,,2000,7,,,,,,,,,,,,,56.5142905592776,"[{""adm1_code"":3215,""adm1_name"":""Alaska""}]",2003-07-01,2023-09-25
2000-0465-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Arizona, California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, South Dakota, Texas, Utah, Washington, Wyoming, Florida, North Dakota provinces",,,No,No,No,,680000,Km2,,,,2000,7,,2000,8,,14,,1000,,1000,,,,,1000000,1769464,56.5142905592776,"[{""adm1_code"":3216,""adm1_name"":""Arizona""},{""adm1_code"":3218,""adm1_name"":""California""},{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3226,""adm1_name"":""Idaho""},{""adm1_code"":3240,""adm1_name"":""Montana""},{""adm1_code"":3242,""adm1_name"":""Nevada""},{""adm1_code"":3245,""adm1_name"":""New Mexico""},{""adm1_code"":3248,""adm1_name"":""North Dakota""},{""adm1_code"":3251,""adm1_name"":""Oregon""},{""adm1_code"":3255,""adm1_name"":""South Dakota""},{""adm1_code"":3257,""adm1_name"":""Texas""},{""adm1_code"":3258,""adm1_name"":""Utah""},{""adm1_code"":3261,""adm1_name"":""Washington""},{""adm1_code"":3264,""adm1_name"":""Wyoming""}]",2007-08-27,2023-09-25
2001-0303-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,Florida province,,,No,No,No,,1030,Km2,,,,2001,4,,2001,4,,1,10,129,,139,,,,,,,58.1114743743821,"[{""adm1_code"":3223,""adm1_name"":""Florida""}]",2003-07-01,2023-09-25
2001-0340-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,CAN,Canada,Northern America,Americas,Alberta province,,,No,No,No,,,Km2,,,,2001,5,28,2001,5,28,,,1200,,1200,,,,,,,58.1114743743821,"[{""adm1_code"":825,""adm1_name"":""Alberta""}]",2003-07-01,2023-09-25
2001-0451-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Oregon, Washington, Idaho, California, Nevada, Colorado, Arizona, Wyoming, Texas, Oklahoma provinces",,,No,No,No,,797,Km2,,,,2001,8,,2001,8,,,,,,,,,,,,,58.1114743743821,"[{""adm1_code"":3216,""adm1_name"":""Arizona""},{""adm1_code"":3218,""adm1_name"":""California""},{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3226,""adm1_name"":""Idaho""},{""adm1_code"":3242,""adm1_name"":""Nevada""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3251,""adm1_name"":""Oregon""},{""adm1_code"":3257,""adm1_name"":""Texas""},{""adm1_code"":3261,""adm1_name"":""Washington""},{""adm1_code"":3264,""adm1_name"":""Wyoming""}]",2003-07-01,2023-09-25
